"id","verb1","verb2","verb4","verb6","perfo1","perfo2","perfo4","perfo6","info1","comp1","simu1","voca1","info6","comp6","simu6","voca6","momed","grad","constant"
190,22.44,38.14,38.75,55.83,18.57,28.54,34.71,43.84,22.242,19.091,23.052,18.091,44.061,65.844,62.013,56.273,11.5,0,1
191,15.48,32.16,34.49,51.18,19.9,31.26,40.19,50.58,24.503,19.612,11.09,11.711,59.591,72.243,22.368,63.026,14,1,1
192,26.58,25.33,36.03,40.27,7.36,12.12,17.63,23.35,26.905,32.398,25.128,22.857,41.19,47.704,32.781,44.286,11.5,0,1
193,18.51,19.15,31.58,39.12,16.78,18.89,37.21,38.43,23.571,21.684,14.796,15.469,37.857,36.99,45.408,43.594,5.5,0,1
194,17.72,25.36,31.56,38.24,11.15,15.22,37.06,46.42,23.571,20.153,14.668,21.295,59.286,43.112,18.495,46.741,11.5,0,1
195,6.1,20.57,21.68,40.95,4.71,12.15,22.34,28.76,14.561,2.256,5.451,9.474,39.123,47.368,43.045,48.947,8,0,1
196,20.03,27.25,30.01,39.46,15.91,29.21,38.22,54.73,24.762,22.385,18.431,18.705,53.333,41.518,29.911,42.813,9.5,0,1
197,19.2,28.1,24.64,34.26,15.09,31.77,41.26,52.25,19.138,20.32,17.488,16.724,36.379,42.488,24.877,32.241,9.5,0,1
198,20.71,26.88,29.42,48.68,19.99,39.78,43.51,58.82,20.643,28.947,14.724,20.504,59.24,51.504,41.04,50.768,11.5,0,1
199,32.23,30.68,37.13,60.83,22.21,29.63,38.24,64.31,27.661,37.531,30.138,25.57,62.749,63.847,60.213,54.518,14,1,1
200,22.49,34.63,36.7,43.33,31.45,59.58,75.61,89.01,19.048,3.571,34.694,20.714,51.19,30.357,42.347,43.482,14,1,1
201,22.23,28.04,37.38,48.9,17.22,22.92,32.07,46.83,17.619,30.548,11.416,19.821,46.19,49.681,45.855,51.964,11.5,0,1
202,15.77,23.96,26.76,36.67,11.14,24.38,36.12,38.11,15.576,9.545,8.961,24.455,37.394,32.922,44.026,35.364,8,0,1
203,24.27,29.66,37.22,50.88,18.86,37.38,35.3,52.63,21.152,35.714,10.909,21.568,53.879,35.714,61.558,54.295,11.5,0,1
204,24.29,30.34,35.25,54.54,25.99,33.18,32.27,61.14,20,35.714,21.429,20,45.455,59.091,75.974,48.636,14,1,1
